Draft year,Round,Pick,Team,Player,Postion,College,Conference,Notes/Trades
2011,3,72,New Orleans Saints,Martez Wilson,LB,Illinois,Big Ten,fromWashington[R3 - 2]
2011,3,73,New England Patriots,Stevan Ridley,RB,LSU,SEC,fromHouston[R3 - 3]
2011,3,74,New England Patriots,Ryan Mallett,QB,Arkansas,SEC,fromMinnesota[R3 - 4]
2011,3,75,Seattle Seahawks,John Moffitt,G,Wisconsin,Big Ten,fromDetroit[R3 - 5]
2011,3,76,Jacksonville Jaguars,Will Rackley,G,Lehigh,Patriot,fromSan Francisco[R3 - 6]
2011,3,77,Tennessee Titans,Jurrell Casey,DT,USC,Pac-10,
2011,3,78,St. Louis Rams,Austin Pettis,WR,Boise State,WAC,
2011,3,79,Washington Redskins,Leonard Hankerson,WR,Miami (FL),ACC,fromMiami[R3 - 7]
2011,3,80,San Francisco 49ers,Chris Culliver,CB,South Carolina,SEC,fromJacksonville[R3 - 8]
2011,3,81,Oakland Raiders,DeMarcus Van Dyke,CB,Miami (FL),ACC,
2011,3,82,San Diego Chargers,Vincent Brown,WR,San Diego State,MWC,
2011,3,83,New York Giants,Jerrel Jernigan,WR,Troy,Sun Belt,
2011,3,84,Tampa Bay Buccaneers,Mason Foster,LB,Washington,Pac-10,
2011,3,85,Baltimore Ravens,Jah Reid,OT,Central Florida,C-USA,fromPhiladelphia[R3 - 9]
2011,3,86,Kansas City Chiefs,Allen Bailey,DE,Miami (FL),ACC,
2011,3,87,Indianapolis Colts,Drake Nevis,DT,LSU,SEC,
2011,3,88,New Orleans Saints,Johnny Patrick,CB,Louisville,Big East,
2011,3,89,San Diego Chargers,Shareece Wright,CB,USC,Pac-10,fromSeattle[R3 - 10]
2011,3,90,Philadelphia Eagles,Curtis Marsh,CB,Utah State,WAC,fromBaltimore[R3 - 11]
2011,3,91,Atlanta Falcons,Akeem Dent,LB,Georgia,SEC,
2011,3,92,Oakland Raiders,Joseph Barksdale,OT,LSU,SEC,fromNew England[R3 - 12]
2011,3,93,Chicago Bears,Chris Conte,S,California,Pac-10,
2011,3,94,New York Jets,Kenrick Ellis,DT,Hampton,MEAC,
2011,3,95,Pittsburgh Steelers,Curtis Brown,CB,Texas,Big 12,
2011,3,96,Green Bay Packers,Alex Green,RB,Hawaii,WAC,
2011,3,97,Carolina Panthers,Sione Fua,DT,Stanford,Pac-10,
2011,4,98,Carolina Panthers,Brandon Hogan,CB,West Virginia,Big East,
2011,4,99,Seattle Seahawks,K. J. Wright,LB,Mississippi State,SEC,fromDenverviaNew England[R4 - 1]
2011,4,100,Buffalo Bills,Da'Norris Searcy,S,North Carolina,ACC,
2011,4,101,Cincinnati Bengals,Clint Boling,G,Georgia,SEC,
2011,4,102,Cleveland Browns,Jordan Cameron,TE,USC,Pac-10,
2011,4,103,Arizona Cardinals,Sam Acho,DE,Texas,Big 12,
2011,4,104,Tampa Bay Buccaneers,Luke Stocker,TE,Tennessee,SEC,fromWashingtonviaPhiladelphia[R4 - 2]
2011,4,105,Washington Redskins,Roy Helu,RB,Nebraska,Big 12,fromHouston[R4 - 3]
2011,4,106,Minnesota Vikings,Christian Ballard,DE,Iowa,Big Ten,
2011,4,107,Seattle Seahawks,Kris Durham,WR,Georgia,SEC,fromDetroit[R4 - 4]
2011,4,108,Denver Broncos,Quinton Carter,S,Oklahoma,Big 12,fromSan Francisco[R4 - 5]
2011,4,109,Tennessee Titans,Colin McCarthy,LB,Miami (FL),ACC,
2011,4,110,Dallas Cowboys,David Arkin,G,Missouri State,MVFC,
2011,4,111,Miami Dolphins,Edmond Gates,WR,Abilene Christian,Lone Star,
2011,4,112,St. Louis Rams,Greg Salas,WR,Hawaii,WAC,
2011,4,113,Oakland Raiders,Chimdi Chekwa,CB,Ohio State,Big Ten,
2011,4,114,Jacksonville Jaguars,Cecil Shorts,WR,Mount Union,OAC,
2011,4,115,San Francisco 49ers,Kendall Hunter,RB,Oklahoma State,Big 12,fromSan Diego[R4 - 6]
2011,4,116,Philadelphia Eagles,Casey Matthews,LB,Oregon,Pac-10,fromTampa Bay[R4 - 7]
2011,4,117,New York Giants,James Brewer,OT,Indiana,Big Ten,
2011,4,118,Kansas City Chiefs,Jalil Brown,CB,Colorado,Big 12,
2011,4,119,Indianapolis Colts,Delone Carter,RB,Syracuse,Big East,
2011,4,120,Philadelphia Eagles,Alex Henery,K,Nebraska,Big 12,
2011,4,121,Jacksonville Jaguars,Chris Prosinski,S,Wyoming,MWC,fromNew Orleans[R4 - 8]
2011,4,122,Buffalo Bills,Chris Hairston,OT,Clemson,ACC,fromSeattle[R4 - 9]
2011,4,123,Baltimore Ravens,Tandon Doss,WR,Indiana,Big Ten,
2011,4,124,Cleveland Browns,Owen Marecic,FB,Stanford,Pac-10,fromAtlanta[R4 - 10]
2011,4,125,Oakland Raiders,Taiwan Jones,RB,Eastern Washington,Big Sky,fromNew England[R4 - 11]
2011,4,126,New York Jets,Bilal Powell,RB,Louisville,Big East,
