Draft Year,Round,Pick,Team,Player,Position,College,Conference,Notes/Trades,
2010,3,69,Oakland Raiders,Jared Veldheer ,OT,Hillsdale,GLIAC,,
2010,3,70,Baltimore Ravens,Ed Dickson ,TE,Oregon,Pac-10,from Seattle via Philadelphia and Denver[R3 - 1],
2010,3,71,Green Bay Packers,Morgan Burnett ,S,Georgia Tech,ACC,from Cleveland via Philadelphia[R3 - 2],
2010,3,72,Buffalo Bills,Alex Carrington ,DE,Arkansas State,Sun Belt,,
2010,3,73,Miami Dolphins,John Jerry ,OT,Ole Miss,SEC,,
2010,3,74,Jacksonville Jaguars,D'Anthony Smith ,DT,Louisiana Tech,WAC,,
2010,3,75,Chicago Bears,Major Wright ,S,Florida,SEC,,
2010,3,76,New York Giants,Chad Jones ,S,LSU,SEC,,
2010,3,77,Tennessee Titans,Damian Williams ,WR,USC,Pac-10,,
2010,3,78,Carolina Panthers,Brandon LaFell ,WR,LSU,SEC,,
2010,3,79,San Diego Chargers,Donald Butler ,LB,Washington,Pac-10,from San Francisco [R3 - 3],
2010,3,80,Denver Broncos,J. D. Walton ,C,Baylor,Big 12,,
2010,3,81,Houston Texans,Earl Mitchell ,DT,Arizona,Pac-10,,
2010,3,82,Pittsburgh Steelers,Emmanuel Sanders ,WR,SMU,C-USA,,
2010,3,83,Atlanta Falcons,Corey Peters ,DT,Kentucky,SEC,,
2010,3,84,Cincinnati Bengals,Jordan Shipley ,WR,Texas,Big 12,,
2010,3,85,Cleveland Browns,Colt McCoy ,QB,Texas,Big 12,from New England via Oakland[R3 - 4],
2010,3,86,Philadelphia Eagles,Daniel Te'o-Nesheim ,DE,Washington,Pac-10,from Green Bay[R3 - 5],
2010,3,87,Denver Broncos,Eric Decker ,WR,Minnesota,Big Ten,from Philadelphia[R3 - 6],
2010,3,88,Arizona Cardinals,Andre Roberts ,WR,The Citadel,SoCon,from Baltimore[R3 - 7],
2010,3,89,Carolina Panthers,Armanti Edwards ,WR,Appalachian State,SoCon,from Arizona via New England[R3 - 8],
2010,3,90,New England Patriots,Taylor Price ,WR,Ohio,MAC,from Dallas[R3 - 9],
2010,3,91,San Francisco 49ers,NaVorro Bowman ,LB,Penn State,Big Ten,from San Diego[R3 - 10],
2010,3,92,Cleveland Browns,Shawn Lauvao ,OT,Arizona State,Pac-10,from New York Jets [R3 - 11],
2010,3,93,Kansas City Chiefs,Tony Moeaki ,TE,Iowa,Big Ten,from Minnesota via Houston[R3 - 12],
2010,3,94,Indianapolis Colts,Kevin Thomas ,CB,USC,Pac-10,,
2010,3,95,New Orleans Saints,Jimmy Graham ,TE,Miami (FL),ACC,,
2010,3,96,Cincinnati Bengals,Brandon Ghee ,CB,Wake Forest,ACC,,
2010,3,97,Tennessee Titans,Rennie Curran ,LB,Georgia,SEC,,
2010,3,98,Atlanta Falcons,Mike Johnson ,G,Alabama,SEC,,
2010,4,99,St. Louis Rams,Mardy Gilyard ,WR,Cincinnati,Big East,,
2010,4,100,Minnesota Vikings,Everson Griffen ,DE,USC,Pac-10,from Detroit[R4 - 1],
2010,4,101,Tampa Bay Buccaneers,Mike Williams ,WR,Syracuse,Big East,,
2010,4,102,Houston Texans,Darryl Sharpton ,LB,Miami (FL),ACC,from Kansas City[R4 - 2],
2010,4,103,Washington Redskins,Perry Riley ,LB,LSU,SEC,,
2010,4,104,Tennessee Titans,Alterraun Verner ,CB,UCLA,Pac-10,from Seattle [R4 - 3],
2010,4,105,Philadelphia Eagles,Trevard Lindley ,CB,Kentucky,SEC,from Cleveland [R4 - 4],
2010,4,106,Oakland Raiders,Bruce Campbell ,OT,Maryland,ACC,,
2010,4,107,Buffalo Bills,Marcus Easley ,WR,Connecticut,Big East,,
2010,4,108,Oakland Raiders,Jacoby Ford ,WR,Clemson,ACC,from Jacksonville [R4 - 5],
2010,4,109,Chicago Bears,Corey Wootton ,DE,Northwestern,Big Ten,,
2010,4,110,San Diego Chargers,Darrell Stuckey ,S,Kansas,Big 12,from Miami[R4 - 6],
2010,4,111,Seattle Seahawks,Walter Thurmond ,CB,Oregon,Pac-10,from Tennessee[R4 - 7],
2010,4,112,New York Jets,Joe McKnight ,RB,USC,Pac-10,from Carolina[R4 - 8],
2010,4,113,New England Patriots,Aaron Hernandez ,TE,Florida,SEC,from San Francisco via Denver[R4 - 9],
2010,4,114,Baltimore Ravens,Dennis Pitta ,TE,BYU,MWC,from Denver[R4 - 10],
2010,4,115,New York Giants,Phillip Dillard ,LB,Nebraska,Big 12,,
