Draft Year,Round,Pick,Team,Player,Postion,College,Conference,Notes/Trades,
2016,3,67,Dallas Cowboys,Maliek Collins ,DT,Nebraska,Big Ten,,
2016,3,68,San Francisco 49ers,Will Redmond ,CB,Mississippi State,SEC,,
2016,3,69,Jacksonville Jaguars,Yannick Ngakoue ,DE,Maryland,Big Ten,,
2016,3,70,Baltimore Ravens,Bronson Kaufusi ,DE,BYU,Ind. (FBS),,
2016,3,71,New York Giants,Darian Thompson ,S,Boise State,MW,,
2016,3,72,Chicago Bears,Jonathan Bullard ,DT,Florida,SEC,,
2016,3,73,Miami Dolphins,Kenyan Drake ,RB,Alabama,SEC,,
2016,3,74,Kansas City Chiefs,KeiVarae Russell ,CB,Notre Dame,Ind. (FBS),from Tampa Bay [R3 - 1],
2016,3,75,Oakland Raiders,Shilique Calhoun ,DE,Michigan State,Big Ten,,
2016,3,76,Cleveland Browns,Shon Coleman ,OT,Auburn,SEC,from Los Angeles via Tennessee [R3 - 2],
2016,3,77,Carolina Panthers,Daryl Worley ,CB,West Virginia,Big 12,from Detroit via Philadelphia and Cleveland [R3 - 3],
2016,3,78,New England Patriots,Joe Thuney ,G,North Carolina State,ACC,from New Orleans [R3 - 4],
2016,3,79,Philadelphia Eagles,Isaac Seumalo ,C,Oregon State,Pac-12,,
2016,3,80,Buffalo Bills,Adolphus Washington ,DT,Ohio State,Big Ten,,
2016,3,81,Atlanta Falcons,Austin Hooper ,TE,Stanford,Pac-12,,
2016,3,82,Indianapolis Colts,Le'Raven Clark ,OT,Texas Tech,Big 12,,
2016,3,83,New York Jets,Jordan Jenkins ,LB,Georgia,SEC,,
2016,3,84,Washington Redskins,Kendall Fuller ,CB,Virginia Tech,ACC,,
2016,3,85,Houston Texans,Braxton Miller ,WR,Ohio State,Big Ten,,
2016,3,86,Miami Dolphins,Leonte Carroo ,WR,Rutgers,Big Ten,from Minnesota [R3 - 5],
2016,3,87,Cincinnati Bengals,Nick Vigil ,LB,Utah State,MW,,
2016,3,88,Green Bay Packers,Kyler Fackrell ,LB,Utah State,MW,,
2016,3,89,Pittsburgh Steelers,Javon Hargrave ,DT,South Carolina State,MEAC,,
2016,3,90,Seattle Seahawks,C. J. Prosise ,RB,Notre Dame,Ind. (FBS),,
2016,3,91,New England Patriots,Jacoby Brissett ,QB,North Carolina State,ACC,,
2016,3,92,Arizona Cardinals,Brandon Williams ,CB,Texas A&M,SEC,,
2016,3,93,Cleveland Browns,Cody Kessler ,QB,USC,Pac-12,from Carolina [R3 - 6],
2016,3,94,Seattle Seahawks,Nick Vannett ,TE,Ohio State,Big Ten,from Denver [R3 - 7],
2016,3,95,Detroit Lions,Graham Glasgow ,C,Michigan,Big Ten,,
2016,3,96,New England Patriots,Vincent Valentine ,DT,Nebraska,Big Ten,,
2016,3,97,Seattle Seahawks,Rees Odhiambo ,OT,Boise State,MW,,
2016,3,98,Denver Broncos,Justin Simmons ,S,Boston College,ACC,,
2016,4,99,Cleveland Browns,Joe Schobert ,LB,Wisconsin,Big Ten,,
2016,4,100,Oakland Raiders,Connor Cook ,QB,Michigan State,Big Ten,from Tennessee via Philadelphia and Cleveland [R4 - 1],
2016,4,101,Dallas Cowboys,Charles Tapper ,DE,Oklahoma,Big 12,,
2016,4,102,San Diego Chargers,Joshua Perry ,LB,Ohio State,Big Ten,,
2016,4,103,Jacksonville Jaguars,Sheldon Day ,DT,Notre Dame,Ind. (FBS),,
2016,4,104,Baltimore Ravens,Tavon Young ,CB,Temple,The American,,
2016,4,105,Kansas City Chiefs,Parker Ehinger ,G,Cincinnati,The American,from San Francisco [R4 - 2],
2016,4,106,Kansas City Chiefs,Eric Murray ,CB,Minnesota,Big Ten,from Chicago via Tampa Bay [R4 - 3],
2016,4,107,Baltimore Ravens,Chris Moore ,WR,Cincinnati,The American,from Miami [R4 - 4],
2016,4,108,Tampa Bay Buccaneers,Ryan Smith ,CB,North Carolina Central,MEAC,,
2016,4,109,New York Giants,B. J. Goodson ,LB,Clemson,ACC,,
2016,4,110,Los Angeles Rams,Tyler Higbee ,TE,Western Kentucky,C-USA,,
2016,4,111,Detroit Lions,Miles Killebrew ,S,Southern Utah,Big Sky,,
2016,4,112,New England Patriots,Malcolm Mitchell ,WR,Georgia,SEC,from New Orleans [R4 - 5],
2016,4,113,Chicago Bears,Nick Kwiatkoski ,LB,West Virginia,Big 12,from Philadelphia via Tennessee and Los Angeles [R4 - 6],
2016,4,114,Cleveland Browns,Ricardo Louis ,WR,Auburn,SEC,from Oakland [R4 - 7],
2016,4,115,Atlanta Falcons,De'Vondre Campbell ,LB,Minnesota,Big Ten,,
2016,4,116,Indianapolis Colts,Hassan Ridgeway ,DT,Texas,Big 12,,
2016,4,117,Los Angeles Rams,Pharoh Cooper ,KR,South Carolina,SEC,from Buffalo via Chicago [R4 - 8],
2016,4,118,New York Jets,Juston Burris ,CB,North Carolina State,ACC,,
2016,4,119,Houston Texans,Tyler Ervin ,RB,San Jose State,MW,,
2016,4,120,New Orleans Saints,David Onyemata ,DT,Manitoba,CWUAA,from Washington [R4 - 9],
2016,4,121,Minnesota Vikings,Willie Beavers ,G,Western Michigan,MAC,,
2016,4,122,Cincinnati Bengals,Andrew Billings ,DT,Baylor,Big 12,,
2016,4,123,Pittsburgh Steelers,Jerald Hawkins ,OT,LSU,SEC,,
2016,4,124,Chicago Bears,Deon Bush ,S,Miami (FL),ACC,from Seattle [R4 - 10],
2016,4,125,Indianapolis Colts,Antonio Morrison ,LB,Florida,SEC,from Green Bay [R4 - 11],
2016,4,126,Kansas City Chiefs,Demarcus Robinson ,WR,Florida,SEC,,
2016,4,127,Chicago Bears,Deiondre' Hall ,S,Northern Iowa,MVFC,from New England [R4 - 12],
2016,4,128,Arizona Cardinals,Evan Boehm ,C,Missouri,SEC,,
2016,4,129,Cleveland Browns,Derrick Kindred ,S,TCU,Big 12,from Carolina [R4 - 13],
2016,4,130,Baltimore Ravens,Alex Lewis ,OT,Nebraska,Big Ten,from Denver [R4 - 14],
2016,4,131,Green Bay Packers,Blake Martinez ,LB,Stanford,Pac-12,,
2016,4,132,Baltimore Ravens,Willie Henry ,DT,Michigan,Big Ten,,
2016,4,133,San Francisco 49ers,Rashard Robinson ,CB,LSU,SEC,,
2016,4,134,Baltimore Ravens,Kenneth Dixon ,RB,Louisiana Tech,C-USA,,
2016,4,135,Dallas Cowboys,Dak Prescott ,QB,Mississippi State,SEC,NFL Offensive Rookie of the year,
2016,4,136,Denver Broncos,Devontae Booker ,RB,Utah,Pac-12,,
